평균풍속(KT),최대순간풍속(KT),강수량합(mm),1시간최다강수(mm),최심신적설(cm),일시
0.2259259259259259,0.38983050847457623,0.0113314447592068,0.0,0.0,2022-12-12
0.5074074074074073,0.5423728813559322,0.00453257790368272,0.0,0.008695652173913044,2022-12-13
0.36666666666666664,0.3389830508474576,0.0,0.0,0.0,2022-12-14
0.3555555555555555,0.2542372881355932,0.006798866855524079,0.0,0.1565217391304348,2022-12-15
0.29259259259259257,0.20338983050847453,0.0,0.0,0.0,2022-12-16
0.27037037037037037,0.2542372881355932,0.0056657223796034,0.0,0.1434782608695652,2022-12-17
0.2777777777777778,0.1864406779661017,0.0,0.0,0.0,2022-12-18
0.1111111111111111,0.050847457627118633,0.0,0.0,0.0,2022-12-19
0.2,0.13559322033898302,0.0,0.0,0.0,2022-12-20
0.28518518518518515,0.2542372881355932,0.03229461756373938,0.0,0.2782608695652174,2022-12-21
0.6666666666666666,0.423728813559322,0.0,0.0,0.0,2022-12-22
0.6481481481481481,0.44067796610169485,0.0,0.0,0.0,2022-12-23
0.17407407407407408,0.11864406779661017,0.0,0.0,0.0,2022-12-24
0.18518518518518517,0.15254237288135591,0.0,0.0,0.0,2022-12-25
0.11481481481481481,0.016949152542372878,0.0,0.0,0.0,2022-12-26
0.11851851851851852,0.08474576271186442,0.0,0.0,0.0,2022-12-27
0.26666666666666666,0.2711864406779661,0.00226628895184136,0.0,0.017391304347826087,2022-12-28
0.13703703703703704,0.11864406779661017,0.0,0.0,0.06521739130434782,2022-12-29
0.16296296296296298,0.08474576271186442,0.0,0.0,0.05652173913043478,2022-12-30
0.2,0.20338983050847453,0.0,0.0,0.0,2022-12-31
0.34444444444444444,0.2711864406779661,0.0,0.0,0.0,2023-01-01
0.3222222222222222,0.22033898305084743,0.0,0.0,0.0,2023-01-02
0.13703703703703704,0.11864406779661017,0.0,0.0,0.0,2023-01-03
0.11851851851851852,0.06779661016949153,0.0,0.0,0.0,2023-01-04
0.1,0.016949152542372878,0.0,0.0,0.0,2023-01-05
0.25925925925925924,0.2542372881355932,0.019263456090651557,0.0,0.0,2023-01-06
0.3074074074074074,0.2542372881355932,0.00056657223796034,0.0,0.0,2023-01-07
0.15555555555555556,0.11864406779661017,0.0,0.0,0.0,2023-01-08
0.31481481481481477,0.20338983050847453,0.0,0.0,0.0,2023-01-09
0.14444444444444443,0.10169491525423728,0.0,0.0,0.0,2023-01-10
0.11851851851851852,0.08474576271186442,0.0,0.0,0.0,2023-01-11
0.1925925925925926,0.06779661016949153,0.00056657223796034,0.0,0.0,2023-01-12
0.17407407407407408,0.23728813559322032,0.1784702549575071,0.0,0.0,2023-01-13
0.2222222222222222,0.1694915254237288,0.0113314447592068,0.0,0.0,2023-01-14
0.4,0.22033898305084743,0.0033994334277620396,0.0,0.0,2023-01-15
0.3333333333333333,0.2542372881355932,0.0,0.0,0.0,2023-01-16
0.14814814814814814,0.08474576271186442,0.00056657223796034,0.0,0.043478260869565216,2023-01-17
0.15555555555555556,0.11864406779661017,0.0,0.0,0.0,2023-01-18
0.31481481481481477,0.423728813559322,0.0056657223796034,0.0,0.0,2023-01-19
0.4925925925925926,0.3728813559322034,0.0,0.0,0.0,2023-01-20
0.18518518518518517,0.06779661016949153,0.0,0.0,0.0,2023-01-21
0.16666666666666666,0.10169491525423728,0.0,0.0,0.0,2023-01-22
0.3555555555555555,0.3559322033898305,0.0,0.0,0.0,2023-01-23
0.6555555555555554,0.5084745762711864,0.0,0.0,0.0,2023-01-24
0.22962962962962963,0.22033898305084743,0.0,0.0,0.0,2023-01-25
0.2518518518518518,0.13559322033898302,0.0084985835694051,0.0,0.3565217391304347,2023-01-26
0.5925925925925926,0.44067796610169485,0.0,0.0,0.0,2023-01-27
0.2777777777777778,0.30508474576271183,0.0,0.0,0.0,2023-01-28
0.34444444444444444,0.3559322033898305,0.0,0.0,0.0,2023-01-29
0.1925925925925926,0.13559322033898302,0.0,0.0,0.0,2023-01-30
0.37037037037037035,0.3559322033898305,0.0,0.0,0.0,2023-01-31
0.362962962962963,0.3220338983050847,0.0,0.0,0.0,2023-02-01
0.3222222222222222,0.22033898305084743,0.0,0.0,0.0,2023-02-02
0.19629629629629627,0.1864406779661017,0.0,0.0,0.0,2023-02-03
0.16666666666666666,0.20338983050847453,0.0,0.0,0.0,2023-02-04
0.2148148148148148,0.23728813559322032,0.0,0.0,0.0,2023-02-05
0.1222222222222222,0.050847457627118633,0.0,0.0,0.0,2023-02-06
0.17037037037037034,0.08474576271186442,0.0,0.0,0.0,2023-02-07
0.2740740740740741,0.2542372881355932,0.0,0.0,0.0,2023-02-08
0.2,0.15254237288135591,0.0,0.0,0.0,2023-02-09
0.2333333333333333,0.1694915254237288,0.00226628895184136,0.0,0.0,2023-02-10
0.1222222222222222,0.10169491525423728,0.0,0.0,0.0,2023-02-11
0.1925925925925926,0.13559322033898302,0.0,0.0,0.0,2023-02-12
0.3407407407407407,0.2542372881355932,0.0,0.0,0.0,2023-02-13
0.3777777777777777,0.23728813559322032,0.0,0.0,0.0,2023-02-14
0.26666666666666666,0.1694915254237288,0.0,0.0,0.0,2023-02-15
0.17407407407407408,0.20338983050847453,0.0,0.0,0.0,2023-02-16
0.14074074074074072,0.10169491525423728,0.0,0.0,0.0,2023-02-17
0.17777777777777776,0.11864406779661017,0.0,0.0,0.0,2023-02-18
0.4185185185185185,0.4067796610169492,0.00226628895184136,0.0,0.0,2023-02-19
0.5185185185185185,0.3389830508474576,0.0,0.0,0.0,2023-02-20
0.27037037037037037,0.23728813559322032,0.0,0.0,0.0,2023-02-21
0.17037037037037034,0.1864406779661017,0.0,0.0,0.0,2023-02-22
0.14814814814814814,0.22033898305084743,0.0,0.0,0.0,2023-02-23
0.3851851851851852,0.4067796610169492,0.0,0.0,0.0,2023-02-24
0.4629629629629629,0.288135593220339,0.0,0.0,0.0,2023-02-25
0.15185185185185182,0.11864406779661017,0.0,0.0,0.0,2023-02-26
0.13703703703703704,0.1694915254237288,0.0,0.0,0.0,2023-02-27
0.17777777777777776,0.15254237288135591,0.0,0.0,0.0,2023-02-28
0.31481481481481477,0.3559322033898305,0.0,0.0,0.0,2023-03-01
0.45925925925925926,0.3220338983050847,0.0,0.0,0.0,2023-03-02
0.28148148148148144,0.30508474576271183,0.0,0.0,0.0,2023-03-03
0.15185185185185182,0.10169491525423728,0.0,0.0,0.0,2023-03-04
0.10370370370370369,0.08474576271186442,0.0,0.0,0.0,2023-03-05
0.2148148148148148,0.2711864406779661,0.0,0.0,0.0,2023-03-06
0.28518518518518515,0.38983050847457623,0.0,0.0,0.0,2023-03-07
0.2333333333333333,0.2542372881355932,0.018696883852691217,0.0,0.0,2023-03-08
0.20740740740740737,0.3220338983050847,0.0016997167138810198,0.0,0.0,2023-03-09
0.16666666666666666,0.2542372881355932,0.0,0.0,0.0,2023-03-10
0.22962962962962963,0.3220338983050847,0.0,0.0,0.0,2023-03-11
0.5111111111111111,0.47457627118644063,0.026062322946175637,0.0,0.0,2023-03-12
0.4074074074074074,0.4576271186440678,0.0,0.0,0.0,2023-03-13
0.41481481481481475,0.4067796610169492,0.0,0.0,0.0,2023-03-14
0.37407407407407406,0.2711864406779661,0.0,0.0,0.0,2023-03-15
0.31481481481481477,0.1864406779661017,0.0,0.0,0.0,2023-03-16
0.2444444444444444,0.10169491525423728,0.0,0.0,0.0,2023-03-17
0.3592592592592592,0.3389830508474576,0.0,0.0,0.0,2023-03-18
0.1925925925925926,0.22033898305084743,0.0,0.0,0.0,2023-03-19
0.14074074074074072,0.06779661016949153,0.0,0.0,0.0,2023-03-20
0.14074074074074072,0.13559322033898302,0.0,0.0,0.0,2023-03-21
0.16296296296296298,0.1864406779661017,0.0,0.0,0.0,2023-03-22
0.3592592592592592,0.30508474576271183,0.0,0.0,0.0,2023-03-23
0.32592592592592595,0.1864406779661017,0.0,0.0,0.0,2023-03-24
0.23703703703703705,0.15254237288135591,0.0,0.0,0.0,2023-03-25
0.4444444444444444,0.3728813559322034,0.0,0.0,0.0,2023-03-26
0.23703703703703705,0.20338983050847453,0.0,0.0,0.0,2023-03-27
0.16666666666666666,0.13559322033898302,0.0,0.0,0.0,2023-03-28
0.13703703703703704,0.1864406779661017,0.0,0.0,0.0,2023-03-29
0.14444444444444443,0.13559322033898302,0.0,0.0,0.0,2023-03-30
0.17037037037037034,0.13559322033898302,0.0,0.0,0.0,2023-03-31
0.15925925925925924,0.11864406779661017,0.0,0.0,0.0,2023-04-01
0.15925925925925924,0.15254237288135591,0.0,0.0,0.0,2023-04-02
0.16666666666666666,0.15254237288135591,0.0,0.0,0.0,2023-04-03
